Start	Move	End	Tags	Week	Date	Description	Index
Crosshand	Awkward wrap	Close hold	easy, fun	Project 4/5	2014-08-05	Turn girl the wrong way without letting go of either hand. Once facing in opposite directions, unwind slightly, then boy keeps turning, then girl keeps turning.	322
Crosshand	Two arm circles	Arms up	fun	Week 9	2014-02-20	Girl's hands end up above her head, one hand holding the other wrist.	95
Crosshand	Walkaround	Open hold	turn, fun	Project	2014-07-08	Girl outside turn, as turn completes boy puts turning arm over girl's and back of hand on girl's shoulderblade (do not elbow her in the face)	282
Crosshand	Wrong-way turn	Crosshand	turn, fun	Adv	2014-07-16	Step once then push back on two and double-handed turn in the unexpected direction.	300
Embrace	Body roll(s)	Embrace	hard, body	Adv	2014-09-10	Gently roll wrists down shoulderblade to lead, don't force it. Keep space between your bodies; boy's hips can go back to make room.	417
Embrace	Booty rolls	Embrace	body, fun	Adv	2014-07-02	Girl holds boy's legs with knees, boy rolls hips to non-stepping foot, pulling girl with him from the middle of her back	278
Embrace	Roll shoulder + twist sit, booty roll	Embrace	hard, body, fun	Adv	2014-07-02	Right shoulder goes 1. up, forward, down 2. up, back, down. On 3+4, twist shoulders so girl sits on left leg. On five, push her off with leg and let her booty roll to 8.	277
Embrace	Scoop dip, bodyroll	Embrace	body	Adv w/ Manuel	2014-05-21		240
Embrace	Shoulder roll + side dip + neck roll	Embrace	body, fun	Close hold V	2014-07-31	Boy's frame rotates so that girl's left shoulder goes back, then right. Then twist and sit and flick back upright with knee, frame, then head. Cup her neck with back of wrist for roll.	320
Embrace	Slow steps	Embrace	easy, basic, fun	Adv	2014-07-16	Lead with little whole-body shrug and then seesaw motion. Let girl feel rhythm.	296
Embrace	Straight dip	Embrace	hard, body	Altona	2014-09-29	Right wrist on shoulderblade, left hand holding shoulder. Apply upward pressure to lead. Girl supports her own weight. Boy does not lean forward, only squat.	461
Embrace	Swaying squat	Embrace	easy, fun	Adv	2014-09-10		416
Girl haircombed	Fake haircomb	Mates hold	fun	Project 2/3	2014-09-09	Haircomb but then undo it and boy turn through basic to haircomb on the other side. 	403
Hammerlock	Double unwind into dip	Open hold	fast, fun	Adv	2014-04-02	At end of second turn, firmly place girl's hand on boy's lower back	149
Hammerlock	Hands low turn	Hammerlock	fun, turn	Week 13	2014-05-28	Keeping both hands very low, turn girl. Near the end of the turn, flick hand to allow completion.	255
Hammerlock	Windmill	Hammerlock	hard, fun	Adv	2014-04-02		148
Hammerlock	Windmill	Hammerlock	hard, fun	Week 2		Boy half outside turn (outside hand over head), bring outside hand down, continue/repeat.	11
Hammerlock	Windmill	Hammerlock	hard, fun	Week 3	2014-03-20		132
Hands on waist	Hip pinball	Arms up	hard, basic, body	Adv w/ Manuel	2014-05-21	Girl goes to one side, boy to the other. Keep shoulders horizontal. Take arms on fourth beat.	233
Hands up	Double clock	Arms up	easy, basic, fun	Week 1	2014-03-06	Sweep girl's arms around in a big circle (pressure on forearm, near wrist). Inside, down, outside, up. 	117
Hands up	Double clock	Close hold	easy, basic, fun	Project 2/3 technique	2014-09-16		433
Hands up	Double clock	Close hold	easy, basic, fun	Week 2	2014-03-13	Sweep girl's arms around in a big circle (pressure on forearm, near wrist). Inside, down, outside, up. 	126
Mates hold	Backstroke + bodyroll	Close hold opened	hard, fun, body	Adv	2014-07-30	Lift arm using upper arm and make it do a backstroke motion. Do the same on the other side but get underneath to get into close hold.	314
Mates hold	Body roll down and reverse bodyroll up	Mates hold	easy, body, fun	Adv	2014-07-30	"2 counts down and 2 up. Remember to ""sit"" at the bottom.  Head, shoulders, hips, sit, hips, shoulders, head."	313
Mates hold	Girl half turn	Hammerlock crosshand	fun	Week 7	2014-02-13		63
Mates hold	Girl turns around boy	Boy wrap	fun	Manuel	2014-05-22	Led with left hand high	243
Mates hold	Lazy sway	Mates hold	body	Adv	2014-04-30		177
Mates hold	Push-pull	Close hold	easy, fun	Adv	2014-04-30	Push girl forward and step back on 5, pull on 6 and walk around, boy half turn on 7.	178
Mates hold	Titanic lunge	Mates hold	hard, body	Adv	2014-04-16	Hands right out to side, push shoulders forward (girl lunges).	157
Open hold	Arm circle + girl blocked inside turn + bodyroll	Mates hold	hard, turn, body	Adv	2014-07-30	Push forearm around in two full circles and away so she turns out on 4; stop her at a quarter turn with hand on hip. Turn her back on 5 but get behind on 6; bodyroll 7 and 8.	311
Open hold	Double elbow break	Embrace	fun, basic	Adv	2014-07-30	Boy's elbows up inside then down outside. Keep your elbows close to hers so you don't get near her face. Back break on 5, pull together on 6, hand on back on 7.	316
Open hold	Double turn dip	Close hold	fast, turn, fun	Project	2014-07-08	Led by turning arm very wide for contra; girl keeps feet together longer for quicker turns. Place girl's arm around your waist and hold it there with your arm. Hold her waist with other hand. Girl supports her own weight (with unfamiliar partners) during the dip.	283
Open hold	Double turn dip	Close hold	fast, turn, fun	TSF Level 2	2014-10-22		522
Open hold	Girl turn + dip	Close hold	fun, body	TSF Level 2	2014-10-08	Place right hand on her back on 6, her right hand on your back on 7. Do not lean forward or rotate your frame. Girl pushes left heel forward and opens out away from boy, watching her dropped hand. 	479
Open hold	Girl turn + dip	Open hold	turn, fun	Adv	2014-05-14		221
Open hold	Girl turn + slow dip	Close hold	fun, body	Adv	2014-09-24	Start with half basic to arm up. Turn girl, placing hand on shoulderblade. Place her turning arm behind your back, then put your free hand on her other shoulder for more support. Down for four, girl can body roll up	457
Open hold	Inside turn + push back	Close hold	hard, body, fun	Adv	2014-08-27	Inside turn on 5 then elbow inside to pin girl's arm against boy's side. Push arm and hip on 1, arm circle starting down into close hold.	371
Open hold	Shoulder turn	Open hold	easy, turn, fun	Project 2/3	2014-10-07	Girl turn, then haircomb and leave hand on shoulder to lead re-turn.	467
Open hold	Shuffles	Open hold	easy, fun, basic	Project	2014-07-08	Arms move in circles: left on 1, right on 2, etc., skipping 4 and 8	280
Shoulder wrap	Girl outside turn	Hammerlock crosshand	fun, turn	Week 2	2014-03-13		127
Side-by-side	Pivots	Side-by-side	body	Week 13	2014-05-28	Twitch hand so follower stiffens, hold her wrist. Use hand to pivot follower.	249
Stepped back	Pivots	Control hold	body	Adv	2014-09-17	Holding girl's right wrist with left hand, steer her frame from side to side, using wide rotational movements. Beats L1, R2, L3, pause, R5, L6, R7, control hold.	442
Stepped back	Pull forward	Wrap	body	Adv	2014-05-07	Pull forward on 1, put hand to waist on 2 and pull back, walk behind into cuddle.	199
Sweetheart	Bodyroll	Sweetheart	body	Week 11	2014-05-15		227
Sweetheart	Girl turn	Hammerlock crosshand	turn, fun	Project 4/5	2014-10-21		533
Sweetheart	Hesitation step	Sweetheart	body	Week 11	2014-05-15	Hands at shoulder height, step forward on 1 but keep back foot in place on 2. Repeat for 3, 4.	226
Wrap	Bamboleo	Wrap	body	Adv w/ Manuel	2014-05-21	Roll hips in a horizontal circle : left, then hip forward, then neutral 	238
Wrap	Bodyroll both	Wrap	easy, body	Week 12	2014-02-27		111
Wrap	Circle walk	Open hold	fun	old Week 12		Arm over girl + boy hand to elbow + boy turn + haircomb + circle walk + girl turn	87
Wrap	Haircomb	Mates hold	fun, body, basic	extra		Release both hands from seatbelted, then collect hand and extend out to side.	65
Wrap	Haircomb	Mates hold	fun, body, basic	TSF Level 1	2014-10-16	One hand then the other, hold hip to prevent turn	508
Wrap	Horizontal sway	Wrap	body	Adv	2014-05-07		200
Wrap	Lead bodyrolls from side	Close hold	body, fun	Adv	2014-05-07	Right hand on back to lead roll, left hand on far hip to prevent falling forward. 2 bodyrolls and then into close hold, all in four beats.	201
Wrap	Push-pull	Cliffhanger	easy, fun, swap	old Week 11			85
Wrap	Push-pull	Cliffhanger	easy, fun, swap	Week 11	2014-05-15	Push girl forward with body just before 1, step across to other side and pull back on 2, let her travel back further on 3,4, then present other hand for turn.	223
Wrap	Push-pull	Cliffhanger	easy, fun, swap	Week 4	2014-03-27	Push girl forward on count 1, step back. Pull back past on step 2. 3,4 go into cliffhanger behind you, then turn girl with other hand.	141
Wrap	Push-pull	Cliffhanger	easy, fun, swap	Week 4	2014-06-26	Push on 1, pull on 2, walk past on 3.	267
Wrap	Step back x2 + kick	Wrap	hard, fun	Adv	2014-05-14	Back, back, forward, kick & rise, down	217
